НАИМЕНОВАНИЕ;АРТИКУЛ;ИМЯ_БРЕНДА;СТРАНА_БРЕНДА;РАЗДЕЛ;КАТЕГОРИЯ;ЦЕНА;ИЗОБРАЖЕНИЕ;КОЛЛЕКЦИЯ;ОПИСАНИЕ;ХАРАКТЕРИСТИКИ
"Потолочный светодиодный светильник Globo Connor 41386-80";41386-80;Globo;Австрия;Светильники;Потолочные;36960;https://www.vamsvet.ru/upload/iblock/7b2/vamsvet-potolochnyy-svetodiodnyy-svetilnik-globo-connor-41386-80.jpeg|https://www.vamsvet.ru/upload/iblock/7b2/vamsvet-potolochnyy-svetodiodnyy-svetilnik-globo-connor-41386-80.jpeg|https://www.vamsvet.ru/upload/iblock/785/6aa031b5-c24c-11e8-80bd-0050568766811.jpeg;Connor;"Утонченная модель 41386-80 от австрийской компании Globo относится к коллекции Connor и отлично подойдет для установки на низкий потолок в гостиной, оформленной в современном стиле. Осветительный элемент встроен в конструкцию и не требует приобретения дополнительных лампочек. Прибор произведен с использованием материалов: пластик, металл и акрил и может использоваться для натяжного потолка. В комплект поставки входит пульт дистанционного управления. Основным цветом товара является белый. Потолочный светодиодный светильник 41386-80 с диммером продается по цене 36960 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.";"Артикул:41386-80||Бренд:Globo||Страна бренда:Австрия||Страна производства:Китай||Коллекция:Connor||Стиль:Современный||Высота, мм:105||Диаметр, мм:785||Тип цоколя:LED||Тип лампочки (основной):Светодиодная||Мощность лампы, W:80||Световой поток, lm:5200||Цветовая температура:3000-6000K||Лампы в комплекте:Да||Напряжение, V:220-240||Виды материалов:Пластиковые||Материал арматуры:Металл||Материал плафонов:Акрил||Вид рассеивателя:Плафон||Форма рассеивателя:Круглый||Цвет:Белый||Цвет арматуры:Белый||Цвет плафонов:Белый||Степень защиты:IP20||Интерьер:Для гостиной||Место установки:На потолок||Подходит для натяжных потолков:ДаПри условии использования
светодиодных ламп||Подходит для низких потолков:Да||Пульт ДУ:Да||Наличие диммера:Да||Тип управления:пульт ДУ||Гарантия производителя:12 месяцев||Гарантия магазина:12 месяцев||Раздел:Светильники||Каталог:Потолочные"
"Потолочный светодиодный светильник Globo Dani 48389-40";48389-40;Globo;Австрия;Светильники;Потолочные;30090;https://www.vamsvet.ru/upload/iblock/90e/vamsvet-potolochnyy-svetodiodnyy-svetilnik-globo-dani-48389-40.jpeg;Dani;"Восхитительная модель 48389-40 от австрийской компании Globo относится к коллекции Dani и отлично подойдет для установки на низкий потолок спальни, оформленной в современном стиле. Осветительный элемент встроен в конструкцию и не требует приобретения дополнительных лампочек. Прибор произведен с использованием материалов: пластик, металл и акрил и может использоваться для натяжного потолка. В комплект поставки входит пульт дистанционного управления. Основным цветом товара является белый. Потолочный светодиодный светильник 48389-40 с диммером продается по цене 30090 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.";"Артикул:48389-40||Бренд:Globo||Страна бренда:Австрия||Страна производства:Китай||Коллекция:Dani||Стиль:Современный||Высота, мм:95||Диаметр, мм:500||Тип цоколя:LED||Тип лампочки (основной):Светодиодная||Мощность лампы, W:40||Общая мощность, W:40||Световой поток, lm:3100||Цветовая температура:3000-6500K||Лампы в комплекте:Да||Напряжение, V:220-240||Виды материалов:Пластиковые||Материал арматуры:Металл||Материал плафонов:Акрил||Вид рассеивателя:Плафон||Форма рассеивателя:Круглый||Цвет:Белый||Цвет арматуры:Белый||Цвет плафонов:Белый||Степень защиты:IP20||Интерьер:Для спальни||Место установки:На потолок||Подходит для натяжных потолков:ДаПри условии использования
светодиодных ламп||Подходит для низких потолков:Да||Пульт ДУ:Да||Наличие диммера:Да||Тип управления:пульт ДУ||Срок службы:30000 часов||Гарантия производителя:12 месяцев||Гарантия магазина:12 месяцев||Раздел:Светильники||Каталог:Потолочные"
"Потолочный светодиодный светильник Globo Findus 41343-24";41343-24;Globo;Австрия;Светильники;Потолочные;22180;https://www.vamsvet.ru/upload/iblock/243/vamsvet-potolochnyy-svetodiodnyy-svetilnik-globo-findus-41343-24.jpeg;Findus;"Изысканная модель 41343-24 от австрийской компании Globo относится к коллекции Findus. Осветительный элемент встроен в конструкцию и не требует приобретения дополнительных лампочек. Прибор произведен с использованием материалов: пластик, металл и акрил. Основным цветом товара является белый. Потолочный светодиодный светильник 41343-24 продается по цене 22180 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.";"Артикул:41343-24||Бренд:Globo||Страна бренда:Австрия||Страна производства:Китай||Коллекция:Findus||Стиль:Современный||Ширина, мм:430||Высота, мм:46||Длина, мм:430||Тип цоколя:LED||Тип лампочки (основной):Светодиодная||Мощность лампы, W:24||Световой поток, lm:1600||Цветовая температура:3000-6000K||Напряжение, V:220-240||Виды материалов:Пластиковые||Материал арматуры:Металл||Материал плафонов:Акрил||Вид рассеивателя:Декоративный||Цвет:Белый||Цвет арматуры:Белый||Цвет плафонов:Белый||Степень защиты:IP20||Гарантия производителя:12 месяцев||Гарантия магазина:12 месяцев||Раздел:Светильники||Каталог:Потолочные"
"Потолочный светильник Ideal Lux Dubai PL6 Ottone 201016";"Dubai PL6 Ottone";"Ideal Lux";Италия;Светильники;Потолочные;132600;https://www.vamsvet.ru/upload/iblock/228/vamsvet-potolochnyy-svetilnik-ideal-lux-dubai-pl6-ottone.jpeg;Dubai;"Исключительная модель Dubai PL6 Ottone от итальянской компании Ideal Lux относится к коллекции Dubai и отлично подойдет для установки на потолок в гостиной, оформленной в классическом стиле. Потолочный светильник Ideal Lux Dubai PL6 Ottone 201016 с декоративными плафонами осветит помещение площадью 13.3 кв. м. Производитель Ideal Lux рекомендует использовать для устройства лампы накаливания с цоколем E14 и мощностью 40 W. Прибор произведен с использованием материалов: хрусталь и металл и может использоваться для натяжного потолка. Основным цветом товара является золотой и прозрачный. Потолочный светильник Dubai PL6 Ottone 201016 продается по цене 132600 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.";"Артикул:Dubai PL6 Ottone||Бренд:Ideal Lux||Страна бренда:Италия||Страна производства:Китай||Коллекция:Dubai||Стиль:Классика||Высота, мм:440||Диаметр, мм:520||Тип цоколя:E14||Тип лампочки (основной):Накаливания||Количество ламп:6||Мощность лампы, W:40||Общая мощность, W:240||Площадь освещения, м2:13.3||Напряжение, V:220-240||Виды материалов:Хрустальные||Материал арматуры:Металл||Материал плафонов:Хрусталь||Направление плафонов:Вниз||Форма светильника:Буше||Вид рассеивателя:Хрусталь||Форма рассеивателя:Декоративный||Цвет:Золотой||Цвет арматуры:Золотой||Цвет плафонов:Прозрачный||Цвет декора:Прозрачный||Степень защиты:IP20||Интерьер:Для гостиной||Место установки:На потолок||Подходит для натяжных потолков:ДаПри условии использования
светодиодных ламп||Гарантия производителя:2 года||Гарантия магазина:12 месяцев||Раздел:Светильники||Каталог:Потолочные"
"Потолочный светодиодный светильник Ideal Lux Halo Pl D45 4000K 223216";"Halo Pl D45 4000K";"Ideal Lux";Италия;Светильники;Потолочные;55540;https://www.vamsvet.ru/upload/iblock/942/vamsvet-potolochnyy-svetodiodnyy-svetilnik-ideal-lux-halo-pl-d45-4000k.jpeg;Halo;"Замечательная модель Halo Pl D45 4000K от итальянской компании Ideal Lux относится к коллекции Halo и отлично подойдет для установки на низкий потолок офиса, оформленном в современном стиле. Осветительный элемент встроен в конструкцию и не требует приобретения дополнительных лампочек. Прибор произведен с использованием материалов: пластик и алюминий и может использоваться для натяжного потолка. Основным цветом товара является белый. Потолочный светодиодный светильник Halo Pl D45 4000K 223216 продается по цене 55540 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.";"Артикул:Halo Pl D45 4000K||Бренд:Ideal Lux||Страна бренда:Италия||Страна производства:Китай||Коллекция:Halo||Стиль:Современный||Высота, мм:90||Диаметр, мм:450||Тип цоколя:LED||Тип лампочки (основной):Светодиодная||Мощность лампы, W:21.5||Общая мощность, W:21,5||Световой поток, lm:3200||Цветовая температура:4000K||Лампы в комплекте:Да||Напряжение, V:220-240||Виды материалов:Пластиковые||Материал арматуры:Алюминий||Материал плафонов:Пластик||Направление плафонов:Вниз||Вид рассеивателя:Плафон||Форма рассеивателя:Цилиндр||Цвет:Белый||Цвет арматуры:Белый||Цвет плафонов:Белый||Степень защиты:IP20||Интерьер:Для офиса||Место установки:На потолок||Подходит для натяжных потолков:ДаПри условии использования
светодиодных ламп||Подходит для низких потолков:Да||Срок службы:35000 часов||Гарантия производителя:2 года||Гарантия магазина:12 месяцев||Раздел:Светильники||Каталог:Потолочные"
"Потолочный светильник Ideal Lux King PL5 Oro 073187";"King PL5 Oro";"Ideal Lux";Италия;Светильники;Потолочные;52260;https://www.vamsvet.ru/upload/iblock/bb3/vamsvet-potolochnyy-svetilnik-ideal-lux-king-pl5-oro.jpeg;"King Oro";"Выдающаяся модель King PL5 Oro от итальянской компании Ideal Lux относится к коллекции King Oro и отлично подойдет для установки на низкий потолок в гостиной, оформленной в стиле арт-деко. Потолочный светильник Ideal Lux King PL5 Oro 073187 с круглыми плафонами осветит помещение площадью 11.1 кв. м. Производитель Ideal Lux рекомендует использовать для устройства галогеновые лампы с цоколем G9 и мощностью 40 W. Прибор произведен с использованием материалов: хрусталь тонированная, металл и хрусталь и может использоваться для натяжного потолка. В комплект поставки входят также лампы. Основным цветом товара является золотой и прозрачный. Потолочный светильник King PL5 Oro 073187 продается по цене 52260 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.";"Артикул:King PL5 Oro||Бренд:Ideal Lux||Страна бренда:Италия||Страна производства:Китай||Коллекция:King Oro||Стиль:Арт-деко||Высота, мм:160||Диаметр, мм:380||Тип цоколя:G9||Тип лампочки (основной):Галогеновая||Количество ламп:5||Мощность лампы, W:40||Общая мощность, W:200||Площадь освещения, м2:11.1||Лампы в комплекте:Да||Напряжение, V:220-240||Виды материалов:Хрустальные тонированные||Материал арматуры:Металл||Материал плафонов:Хрусталь||Направление плафонов:Вниз||Форма светильника:Буше||Вид рассеивателя:Плафон||Форма рассеивателя:Круглый||Цвет:Золотой||Цвет арматуры:Золотой||Цвет плафонов:Прозрачный||Цвет декора:Прозрачный||Степень защиты:IP20||Интерьер:Для гостиной||Место установки:На потолок||Подходит для натяжных потолков:ДаПри условии использования
светодиодных ламп||Подходит для низких потолков:Да||Пульт ДУ:Нет||Гарантия производителя:2 года||Гарантия магазина:12 месяцев||Раздел:Светильники||Каталог:Потолочные"
"Потолочный светильник Ideal Lux Moonlight PL15 Oro 082790";"Moonlight PL15 Oro";"Ideal Lux";Италия;Светильники;Потолочные;124020;https://www.vamsvet.ru/upload/iblock/9f7/vamsvet-potolochnyy-svetilnik-ideal-lux-moonlight-pl15-oro.jpeg;"Moonlight Oro";"Невероятная модель Moonlight PL15 Oro от итальянской компании Ideal Lux относится к коллекции Moonlight Oro и отлично подойдет для установки на потолок в гостиной, оформленной в стиле арт-деко. Потолочный светильник Ideal Lux Moonlight PL15 Oro 082790 без плафонов осветит помещение площадью 33.3 кв. м. Производитель Ideal Lux рекомендует использовать для устройства галогеновые лампы с цоколем G9 и мощностью 40 W. Прибор произведен с использованием материалов: хрусталь и металл и может использоваться для натяжного потолка. В комплект поставки входят также лампы. Основным цветом товара является золотой. Потолочный светильник Moonlight PL15 Oro 082790 продается по цене 124020 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.";"Артикул:Moonlight PL15 Oro||Бренд:Ideal Lux||Страна бренда:Италия||Страна производства:Китай||Коллекция:Moonlight Oro||Стиль:Арт-деко||Высота, мм:360||Диаметр, мм:800||Тип цоколя:G9||Тип лампочки (основной):Галогеновая||Количество ламп:15||Мощность лампы, W:40||Общая мощность, W:600||Площадь освещения, м2:33.3||Лампы в комплекте:Да||Напряжение, V:220-240||Виды материалов:Хрустальные||Материал арматуры:Металл||Вид рассеивателя:Хрусталь||Форма рассеивателя:Без плафона||Цвет:Золотой||Цвет арматуры:Золотой||Цвет декора:Прозрачный||Степень защиты:IP20||Интерьер:Для гостиной||Место установки:На потолок||Подходит для натяжных потолков:ДаПри условии использования
светодиодных ламп||Пульт ДУ:Нет||Гарантия производителя:2 года||Гарантия магазина:12 месяцев||Раздел:Светильники||Каталог:Потолочные"
"Потолочный светодиодный светильник Arte Perfetto Luce Rimini S504.0.60.E.3000";S504.0.60.E.3000;"Arte Perfetto Luce";Италия;Светильники;Потолочные;84501;https://www.vamsvet.ru/upload/iblock/436/vamsvet-potolochnyy-svetodiodnyy-svetilnik-arte-perfetto-luce-rimini-s504-0-60-e-3000.jpeg|https://www.vamsvet.ru/upload/iblock/606/potolochnyy-svetodiodnyy-svetilnik-arte-perfetto-luce-rimini-s504-0-60-e-3000-1.jpeg|https://www.vamsvet.ru/upload/iblock/62c/potolochnyy-svetodiodnyy-svetilnik-arte-perfetto-luce-rimini-s504-0-60-e-3000-2.jpeg|https://www.vamsvet.ru/upload/iblock/436/vamsvet-potolochnyy-svetodiodnyy-svetilnik-arte-perfetto-luce-rimini-s504-0-60-e-3000.jpeg|https://www.vamsvet.ru/upload/iblock/606/potolochnyy-svetodiodnyy-svetilnik-arte-perfetto-luce-rimini-s504-0-60-e-3000-1.jpeg|https://www.vamsvet.ru/upload/iblock/62c/potolochnyy-svetodiodnyy-svetilnik-arte-perfetto-luce-rimini-s504-0-60-e-3000-2.jpeg;Rimini;"Утонченная модель S504.0.60.E.3000 от итальянской компании Arte Perfetto Luce относится к коллекции Rimini и отлично подойдет для установки на низкий потолок в гостиной, оформленной в классическом стиле. Осветительный элемент встроен в конструкцию и не требует приобретения дополнительных лампочек. Прибор произведен с использованием материалов: хрусталь и металл и может использоваться для натяжного потолка. Основным цветом товара является никелевый и прозрачный. Потолочный светодиодный светильник S504.0.60.E.3000 продается по цене 84501 руб, с дисконтом 12% - ваша выгода при покупке составит 11523 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.";"Артикул:S504.0.60.E.3000||Бренд:Arte Perfetto Luce||Страна бренда:Италия||Страна производства:Россия||Коллекция:Rimini||Стиль:Классика||Особенность:2 в 1 (подвесной и потолочный)||Количество плафонов:1||Ширина, мм:600||Высота, мм:150||Длина, мм:600||Тип цоколя:LED||Тип лампочки (основной):Накаливания||Мощность лампы, W:70||Общая мощность, W:70||Цветовая температура:3000K||Лампы в комплекте:Да||Напряжение, V:220-240||Виды материалов:Хрустальные||Материал арматуры:Металл||Материал плафонов:Хрусталь||Вид рассеивателя:Хрусталь||Форма рассеивателя:Квадратный||Цвет:Никель||Цвет арматуры:Никель||Цвет плафонов:Прозрачный||Цвет декора:Прозрачный||Степень защиты:IP20||Интерьер:Для гостиной||Место установки:На потолок||Тип крепления:Монтажная пластина||Подходит для натяжных потолков:ДаПри условии использования
светодиодных ламп||Подходит для низких потолков:Да||Цвет свечения:Теплый белый||Гарантия производителя:18 месяцев||Гарантия магазина:12 месяцев||Раздел:Светильники||Каталог:Потолочные"
"Потолочный светодиодный светильник Arte Perfetto Luce Rimini S504.0.60.E.4000";S504.0.60.E.4000;"Arte Perfetto Luce";Италия;Светильники;Потолочные;84501;https://www.vamsvet.ru/upload/iblock/294/vamsvet-potolochnyy-svetodiodnyy-svetilnik-arte-perfetto-luce-rimini-s504-0-60-e-4000.jpeg|https://www.vamsvet.ru/upload/iblock/730/potolochnyy-svetodiodnyy-svetilnik-arte-perfetto-luce-rimini-s504-0-60-e-4000-1.jpeg|https://www.vamsvet.ru/upload/iblock/fc3/potolochnyy-svetodiodnyy-svetilnik-arte-perfetto-luce-rimini-s504-0-60-e-4000-2.jpeg|https://www.vamsvet.ru/upload/iblock/294/vamsvet-potolochnyy-svetodiodnyy-svetilnik-arte-perfetto-luce-rimini-s504-0-60-e-4000.jpeg|https://www.vamsvet.ru/upload/iblock/730/potolochnyy-svetodiodnyy-svetilnik-arte-perfetto-luce-rimini-s504-0-60-e-4000-1.jpeg|https://www.vamsvet.ru/upload/iblock/fc3/potolochnyy-svetodiodnyy-svetilnik-arte-perfetto-luce-rimini-s504-0-60-e-4000-2.jpeg;Rimini;"Изумительная модель S504.0.60.E.4000 от итальянской компании Arte Perfetto Luce относится к коллекции Rimini и отлично подойдет для установки на низкий потолок в гостиной, оформленной в классическом стиле. Осветительный элемент встроен в конструкцию и не требует приобретения дополнительных лампочек. Прибор произведен с использованием материалов: хрусталь и металл и может использоваться для натяжного потолка. Основным цветом товара является никелевый и прозрачный. Потолочный светодиодный светильник S504.0.60.E.4000 продается по цене 84501 руб, с дисконтом 12% - ваша выгода при покупке составит 11523 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.";"Артикул:S504.0.60.E.4000||Бренд:Arte Perfetto Luce||Страна бренда:Италия||Страна производства:Россия||Коллекция:Rimini||Стиль:Классика||Особенность:2 в 1 (подвесной и потолочный)||Количество плафонов:1||Ширина, мм:600||Высота, мм:140||Длина, мм:600||Тип цоколя:LED||Тип лампочки (основной):Накаливания||Мощность лампы, W:70||Общая мощность, W:70||Цветовая температура:4000K||Лампы в комплекте:Да||Напряжение, V:220-240||Виды материалов:Хрустальные||Материал арматуры:Металл||Материал плафонов:Хрусталь||Вид рассеивателя:Хрусталь||Форма рассеивателя:Квадратный||Цвет:Никель||Цвет арматуры:Никель||Цвет плафонов:Прозрачный||Цвет декора:Прозрачный||Степень защиты:IP20||Интерьер:Для гостиной||Место установки:На потолок||Тип крепления:Монтажная пластина||Подходит для натяжных потолков:ДаПри условии использования
светодиодных ламп||Подходит для низких потолков:Да||Цвет свечения:Дневной белый||Гарантия производителя:18 месяцев||Гарантия магазина:12 месяцев||Раздел:Светильники||Каталог:Потолочные"
"Потолочный светодиодный светильник Arte Perfetto Luce Rimini S504.0.60.F.3000";S504.0.60.F.3000;"Arte Perfetto Luce";Италия;Светильники;Потолочные;87035;https://www.vamsvet.ru/upload/iblock/7ac/vamsvet-potolochnyy-svetodiodnyy-svetilnik-arte-perfetto-luce-rimini-s504-0-60-f-3000.jpeg|https://www.vamsvet.ru/upload/iblock/aed/potolochnyy-svetodiodnyy-svetilnik-arte-perfetto-luce-rimini-s504-0-60-f-3000-1.jpeg|https://www.vamsvet.ru/upload/iblock/143/potolochnyy-svetodiodnyy-svetilnik-arte-perfetto-luce-rimini-s504-0-60-f-3000-2.jpeg|https://www.vamsvet.ru/upload/iblock/1a0/potolochnyy-svetodiodnyy-svetilnik-arte-perfetto-luce-rimini-s504-0-60-f-3000-3.jpeg|https://www.vamsvet.ru/upload/iblock/358/74b2670a-f099-11eb-80f1-ac1f6bbcde7f4.jpeg|https://www.vamsvet.ru/upload/iblock/7ac/vamsvet-potolochnyy-svetodiodnyy-svetilnik-arte-perfetto-luce-rimini-s504-0-60-f-3000.jpeg|https://www.vamsvet.ru/upload/iblock/aed/potolochnyy-svetodiodnyy-svetilnik-arte-perfetto-luce-rimini-s504-0-60-f-3000-1.jpeg|https://www.vamsvet.ru/upload/iblock/143/potolochnyy-svetodiodnyy-svetilnik-arte-perfetto-luce-rimini-s504-0-60-f-3000-2.jpeg|https://www.vamsvet.ru/upload/iblock/1a0/potolochnyy-svetodiodnyy-svetilnik-arte-perfetto-luce-rimini-s504-0-60-f-3000-3.jpeg|https://www.vamsvet.ru/upload/iblock/358/74b2670a-f099-11eb-80f1-ac1f6bbcde7f4.jpeg;Rimini;"Несравненная модель S504.0.60.F.3000 от итальянской компании Arte Perfetto Luce относится к коллекции Rimini и отлично подойдет для установки на низкий потолок в гостиной, оформленной в классическом стиле. Осветительный элемент встроен в конструкцию и не требует приобретения дополнительных лампочек. Прибор произведен с использованием материалов: хрусталь и металл и может использоваться для натяжного потолка. Основным цветом товара является никелевый и прозрачный. Потолочный светодиодный светильник S504.0.60.F.3000 продается по цене 87035 руб, с дисконтом 12% - ваша выгода при покупке составит 11868 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.";"Артикул:S504.0.60.F.3000||Бренд:Arte Perfetto Luce||Страна бренда:Италия||Страна производства:Россия||Коллекция:Rimini||Стиль:Классика||Особенность:2 в 1 (подвесной и потолочный)||Количество плафонов:1||Ширина, мм:600||Высота, мм:200||Длина, мм:600||Тип цоколя:LED||Тип лампочки (основной):Накаливания||Мощность лампы, W:70||Общая мощность, W:70||Цветовая температура:3000K||Лампы в комплекте:Да||Напряжение, V:220-240||Виды материалов:Хрустальные||Материал арматуры:Металл||Материал плафонов:Хрусталь||Вид рассеивателя:Хрусталь||Форма рассеивателя:Квадратный||Цвет:Никель||Цвет арматуры:Никель||Цвет плафонов:Прозрачный||Цвет декора:Прозрачный||Степень защиты:IP20||Интерьер:Для гостиной||Место установки:На потолок||Тип крепления:Монтажная пластина||Подходит для натяжных потолков:ДаПри условии использования
светодиодных ламп||Подходит для низких потолков:Да||Цвет свечения:Теплый белый||Гарантия производителя:18 месяцев||Гарантия магазина:12 месяцев||Раздел:Светильники||Каталог:Потолочные"
"Потолочный светодиодный светильник Arte Perfetto Luce Rimini S504.0.60.F.4000";S504.0.60.F.4000;"Arte Perfetto Luce";Италия;Светильники;Потолочные;87035;https://www.vamsvet.ru/upload/iblock/287/vamsvet-potolochnyy-svetodiodnyy-svetilnik-arte-perfetto-luce-rimini-s504-0-60-f-4000.jpeg|https://www.vamsvet.ru/upload/iblock/e1a/potolochnyy-svetodiodnyy-svetilnik-arte-perfetto-luce-rimini-s504-0-60-f-4000-1.jpeg|https://www.vamsvet.ru/upload/iblock/d68/potolochnyy-svetodiodnyy-svetilnik-arte-perfetto-luce-rimini-s504-0-60-f-4000-2.jpeg|https://www.vamsvet.ru/upload/iblock/cff/potolochnyy-svetodiodnyy-svetilnik-arte-perfetto-luce-rimini-s504-0-60-f-4000-3.jpeg|https://www.vamsvet.ru/upload/iblock/30d/88eb72b9-f099-11eb-80f1-ac1f6bbcde7f4.jpeg|https://www.vamsvet.ru/upload/iblock/287/vamsvet-potolochnyy-svetodiodnyy-svetilnik-arte-perfetto-luce-rimini-s504-0-60-f-4000.jpeg|https://www.vamsvet.ru/upload/iblock/e1a/potolochnyy-svetodiodnyy-svetilnik-arte-perfetto-luce-rimini-s504-0-60-f-4000-1.jpeg|https://www.vamsvet.ru/upload/iblock/d68/potolochnyy-svetodiodnyy-svetilnik-arte-perfetto-luce-rimini-s504-0-60-f-4000-2.jpeg|https://www.vamsvet.ru/upload/iblock/cff/potolochnyy-svetodiodnyy-svetilnik-arte-perfetto-luce-rimini-s504-0-60-f-4000-3.jpeg|https://www.vamsvet.ru/upload/iblock/30d/88eb72b9-f099-11eb-80f1-ac1f6bbcde7f4.jpeg;Rimini;"Выдающаяся модель S504.0.60.F.4000 от итальянской компании Arte Perfetto Luce относится к коллекции Rimini и отлично подойдет для установки на низкий потолок в гостиной, оформленной в классическом стиле. Осветительный элемент встроен в конструкцию и не требует приобретения дополнительных лампочек. Прибор произведен с использованием материалов: хрусталь и металл и может использоваться для натяжного потолка. Основным цветом товара является никелевый и прозрачный. Потолочный светодиодный светильник S504.0.60.F.4000 продается по цене 87035 руб, с дисконтом 12% - ваша выгода при покупке составит 11868 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.";"Артикул:S504.0.60.F.4000||Бренд:Arte Perfetto Luce||Страна бренда:Италия||Страна производства:Россия||Коллекция:Rimini||Стиль:Классика||Особенность:2 в 1 (подвесной и потолочный)||Количество плафонов:1||Ширина, мм:600||Высота, мм:190||Длина, мм:600||Тип цоколя:LED||Тип лампочки (основной):Накаливания||Мощность лампы, W:70||Общая мощность, W:70||Цветовая температура:4000K||Лампы в комплекте:Да||Напряжение, V:220-240||Виды материалов:Хрустальные||Материал арматуры:Металл||Материал плафонов:Хрусталь||Вид рассеивателя:Хрусталь||Форма рассеивателя:Квадратный||Цвет:Никель||Цвет арматуры:Никель||Цвет плафонов:Прозрачный||Цвет декора:Прозрачный||Степень защиты:IP20||Интерьер:Для гостиной||Место установки:На потолок||Тип крепления:Монтажная пластина||Подходит для натяжных потолков:ДаПри условии использования
светодиодных ламп||Подходит для низких потолков:Да||Цвет свечения:Дневной белый||Гарантия производителя:18 месяцев||Гарантия магазина:12 месяцев||Раздел:Светильники||Каталог:Потолочные"
"Потолочный светодиодный светильник Globo Ina II 41738-60RGB";41738-60RGB;Globo;Австрия;Светильники;Потолочные;36890;https://www.vamsvet.ru/upload/iblock/eb5/vamsvet-potolochnyy-svetodiodnyy-svetilnik-globo-ina-ii-41738-60rgb.jpeg|https://www.vamsvet.ru/upload/iblock/eb5/vamsvet-potolochnyy-svetodiodnyy-svetilnik-globo-ina-ii-41738-60rgb.jpeg|https://www.vamsvet.ru/upload/iblock/cda/4885b542-c25a-11e8-80bd-0050568766811.jpeg;"Ina II";"Утонченная модель 41738-60RGB от австрийской компании Globo относится к коллекции Ina II и отлично подойдет для установки на низкий потолок в гостиной, оформленной в современном стиле. Осветительный элемент встроен в конструкцию и не требует приобретения дополнительных лампочек. Прибор произведен с использованием материалов: пластик, алюминий и акрил и может использоваться для натяжного потолка. В комплект поставки входит пульт дистанционного управления. Основным цветом товара является белый. Потолочный светодиодный светильник 41738-60RGB с диммером продается по цене 36890 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.";"Артикул:41738-60RGB||Бренд:Globo||Страна бренда:Австрия||Страна производства:Китай||Коллекция:Ina II||Стиль:Современный||Высота, мм:120||Диаметр, мм:585||Тип цоколя:LED||Тип лампочки (основной):Светодиодная||Мощность лампы, W:60||Общая мощность, W:60||Световой поток, lm:2400||Цветовая температура:3000/4500/6500K||Лампы в комплекте:Да||Напряжение, V:220-240||Виды материалов:Пластиковые||Материал арматуры:Алюминий||Материал плафонов:Акрил||Вид рассеивателя:Плафон||Форма рассеивателя:Круглый||Цвет:Белый||Цвет арматуры:Белый||Цвет плафонов:Белый||Степень защиты:IP20||Интерьер:Для гостиной||Место установки:На потолок||Подходит для натяжных потолков:ДаПри условии использования
светодиодных ламп||Подходит для низких потолков:Да||Пульт ДУ:Да||Наличие диммера:Да||Тип управления:пульт ДУ||Срок службы:20000 часов||Гарантия производителя:12 месяцев||Гарантия магазина:12 месяцев||Раздел:Светильники||Каталог:Потолочные"
"Потолочный светодиодный светильник Globo Kelly 41339-48";41339-48;Globo;Австрия;Светильники;Потолочные;26760;https://www.vamsvet.ru/upload/iblock/e0a/vamsvet-potolochnyy-svetodiodnyy-svetilnik-globo-kelly-41339-48.jpeg;Kelly;"Исключительная модель 41339-48 от австрийской компании Globo относится к коллекции Kelly. Осветительный элемент встроен в конструкцию и не требует приобретения дополнительных лампочек. Прибор произведен с использованием материалов: пластик, металл и акрил. Основным цветом товара является белый. Потолочный светодиодный светильник 41339-48 продается по цене 26760 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.";"Артикул:41339-48||Бренд:Globo||Страна бренда:Австрия||Страна производства:Китай||Коллекция:Kelly||Стиль:Модерн||Ширина, мм:545||Высота, мм:95||Длина, мм:545||Тип цоколя:LED||Тип лампочки (основной):Светодиодная||Мощность лампы, W:48||Световой поток, lm:3300||Цветовая температура:3000/4200/6400K||Напряжение, V:220-240||Виды материалов:Пластиковые||Материал арматуры:Металл||Материал плафонов:Акрил||Вид рассеивателя:Декоративный||Цвет:Белый||Цвет арматуры:Белый||Цвет плафонов:Белый||Степень защиты:IP20||Гарантия производителя:12 месяцев||Гарантия магазина:12 месяцев||Раздел:Светильники||Каталог:Потолочные"
